民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年03月31日,113年03月31日,112年12月31日,112年12月31日,112年03月31日,112年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,2111625.0,15.2,1821582.0,13.32,7390973.0,49.23,,
透過損益按公允價值衡量之金融資產－流動,465027.0,3.35,104049.0,0.76,98598.0,0.66,,
按攤銷後成本衡量之金融資產－流動,10000.0,0.07,0.0,0.0,0.0,0.0,,
應收票據淨額,127552.0,0.92,137362.0,1.0,113714.0,0.76,,
應收帳款淨額,832658.0,5.99,806511.0,5.9,741551.0,4.94,,
應收帳款－關係人淨額,410813.0,2.96,464963.0,3.4,407265.0,2.71,,
其他應收款淨額,19039.0,0.14,16984.0,0.12,9813.0,0.07,,
存貨,1396311.0,10.05,1363136.0,9.97,1233942.0,8.22,,
生物資產－流動,27973.0,0.2,24634.0,0.18,23696.0,0.16,,
預付款項,223087.0,1.61,663215.0,4.85,181057.0,1.21,,
其他流動資產,99087.0,0.71,95917.0,0.7,11618.0,0.08,,
流動資產合計,5723172.0,41.19,5498353.0,40.2,10212227.0,68.02,,
非流動資產,,,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,1408687.0,10.14,1413304.0,10.33,1627655.0,10.84,,
按攤銷後成本衡量之金融資產－非流動,132864.0,0.96,130013.0,0.95,0.0,0.0,,
採用權益法之投資,327777.0,2.36,314127.0,2.3,315445.0,2.1,,
不動產、廠房及設備,1939190.0,13.96,1954801.0,14.29,2008604.0,13.38,,
使用權資產,17668.0,0.13,15506.0,0.11,12298.0,0.08,,
投資性不動產淨額,610973.0,4.4,611404.0,4.47,612717.0,4.08,,
無形資產,106.0,0.0,154.0,0.0,350.0,0.0,,
生物資產－非流動,6825.0,0.05,7033.0,0.05,6336.0,0.04,,
遞延所得稅資產,22155.0,0.16,40278.0,0.29,33490.0,0.22,,
其他非流動資產,3706026.0,26.67,3694191.0,27.01,184041.0,1.23,,
非流動資產合計,8172271.0,58.81,8180811.0,59.8,4800936.0,31.98,,
資產總額,13895443.0,100.0,13679164.0,100.0,15013163.0,100.0,,
流動負債,,,,,,,,
短期借款,10170.0,0.07,0.0,0.0,33478.0,0.22,,
應付短期票券,0.0,0.0,0.0,0.0,20000.0,0.13,,
合約負債－流動,4678.0,0.03,5711.0,0.04,36426.0,0.24,,
應付票據,758.0,0.01,2069.0,0.02,6788.0,0.05,,
應付帳款,614707.0,4.42,561750.0,4.11,566011.0,3.77,,
其他應付款,342894.0,2.47,355324.0,2.6,790479.0,5.27,,
本期所得稅負債,257697.0,1.85,254570.0,1.86,339284.0,2.26,,
租賃負債－流動,2572.0,0.02,1929.0,0.01,1221.0,0.01,,
其他流動負債,178652.0,1.29,180670.0,1.32,386303.0,2.57,,
流動負債合計,1412128.0,10.16,1362023.0,9.96,2179990.0,14.52,,
非流動負債,,,,,,,,
遞延所得稅負債,226962.0,1.63,222926.0,1.63,223071.0,1.49,,
租賃負債－非流動,4943.0,0.04,3517.0,0.03,426.0,0.0,,
其他非流動負債,6870.0,0.05,6630.0,0.05,6730.0,0.04,,
非流動負債合計,238775.0,1.72,233073.0,1.7,230227.0,1.53,,
負債總額,1650903.0,11.88,1595096.0,11.66,2410217.0,16.05,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,4999990.0,35.98,4999990.0,36.55,4999990.0,33.3,,
股本合計,4999990.0,35.98,4999990.0,36.55,4999990.0,33.3,,
資本公積,,,,,,,,
資本公積合計,1014497.0,7.3,1014497.0,7.42,1006742.0,6.71,,
保留盈餘,,,,,,,,
法定盈餘公積,869876.0,6.26,869876.0,6.36,276984.0,1.84,,
特別盈餘公積,240776.0,1.73,240776.0,1.76,240776.0,1.6,,
未分配盈餘（或待彌補虧損）,5404547.0,38.89,5249096.0,38.37,6143902.0,40.92,,
保留盈餘合計,6515199.0,46.89,6359748.0,46.49,6661662.0,44.37,,
其他權益,,,,,,,,
其他權益合計,-86780.0,-0.62,-91700.0,-0.67,133185.0,0.89,,
庫藏股票,-203876.0,-1.47,-203876.0,-1.49,-203876.0,-1.36,,
歸屬於母公司業主之權益合計,12239030.0,88.08,12078659.0,88.3,12597703.0,83.91,,
非控制權益,5510.0,0.04,5409.0,0.04,5243.0,0.03,,
權益總額,12244540.0,88.12,12084068.0,88.34,12602946.0,83.95,,
負債及權益總計,13895443.0,100.0,13679164.0,100.0,15013163.0,100.0,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,13680042.0,,13680042.0,,13680042.0,,,
