民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,112年01月01日至112年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,182828.0,163831.0,,,,
本期稅前淨利（淨損）,182828.0,163831.0,,,,
折舊費用,271463.0,271754.0,,,,
攤銷費用,10298.0,8671.0,,,,
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,1528.0,-11.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,7114.0,-7146.0,,,,
利息費用,34775.0,38943.0,,,,
利息收入,-6801.0,-3905.0,,,,
股利收入,-1799.0,0.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,118.0,253.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,7920.0,5168.0,,,,
收益費損項目合計,324616.0,313727.0,,,,
應收票據（增加）減少,7762.0,16404.0,,,,
應收帳款（增加）減少,-9354.0,58742.0,,,,
應收帳款－關係人（增加）減少,16431.0,-17381.0,,,,
其他應收款（增加）減少,-16756.0,-27608.0,,,,
存貨（增加）減少,-133810.0,-97443.0,,,,
預付款項（增加）減少,19751.0,-67244.0,,,,
其他流動資產（增加）減少,-3956.0,17502.0,,,,
其他營業資產（增加）減少,54.0,9422.0,,,,
與營業活動相關之資產之淨變動合計,-119878.0,-107606.0,,,,
合約負債增加（減少）,-3255.0,3948.0,,,,
應付票據增加（減少）,112.0,-184.0,,,,
應付帳款增加（減少）,-182446.0,16042.0,,,,
應付帳款－關係人增加（減少）,202386.0,5479.0,,,,
其他應付款增加（減少）,-341536.0,-309647.0,,,,
其他流動負債增加（減少）,4027.0,357.0,,,,
其他營業負債增加（減少）,854.0,-16830.0,,,,
與營業活動相關之負債之淨變動合計,-319858.0,-300835.0,,,,
與營業活動相關之資產及負債之淨變動合計,-439736.0,-408441.0,,,,
調整項目合計,-115120.0,-94714.0,,,,
營運產生之現金流入（流出）,67708.0,69117.0,,,,
收取之利息,6801.0,3905.0,,,,
收取之股利,1913.0,24.0,,,,
支付之利息,-33200.0,-39805.0,,,,
退還（支付）之所得稅,-21849.0,-9980.0,,,,
營業活動之淨現金流入（流出）,21373.0,23261.0,,,,
投資活動之現金流量,,,,,,
取得透過損益按公允價值衡量之金融資產,-31485.0,-108087.0,,,,
處分透過損益按公允價值衡量之金融資產,7232.0,6991.0,,,,
取得不動產、廠房及設備,-214736.0,-95365.0,,,,
處分不動產、廠房及設備,7806.0,4286.0,,,,
存出保證金增加,-1460.0,0.0,,,,
存出保證金減少,0.0,286.0,,,,
取得無形資產,-7476.0,-30910.0,,,,
取得使用權資產,-42.0,0.0,,,,
其他金融資產減少,0.0,60.0,,,,
預付設備款增加,-9331.0,-13569.0,,,,
投資活動之淨現金流入（流出）,-249492.0,-236308.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,0.0,967719.0,,,,
短期借款減少,-150805.0,0.0,,,,
應付短期票券增加,0.0,259414.0,,,,
應付短期票券減少,-214914.0,0.0,,,,
舉借長期借款,1050024.0,1000034.0,,,,
償還長期借款,-853008.0,-953006.0,,,,
存入保證金增加,6382.0,882.0,,,,
租賃本金償還,-49632.0,-42905.0,,,,
籌資活動之淨現金流入（流出）,-211953.0,1232138.0,,,,
匯率變動對現金及約當現金之影響,28446.0,-5956.0,,,,
本期現金及約當現金增加（減少）數,-411626.0,1013135.0,,,,
期初現金及約當現金餘額,1667471.0,964499.0,,,,
期末現金及約當現金餘額,1255845.0,1977634.0,,,,
資產負債表帳列之現金及約當現金,1255845.0,1977634.0,,,,
