民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,112年01月01日至112年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,10860028.0,10313351.0,,,,
本期稅前淨利（淨損）,10860028.0,10313351.0,,,,
折舊費用,10178208.0,8544852.0,,,,
攤銷費用,359650.0,246275.0,,,,
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,45392.0,-1438.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-160730.0,-192974.0,,,,
利息費用,1009720.0,775282.0,,,,
利息收入,-1138684.0,-1047740.0,,,,
股利收入,-19025.0,-2666.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-1022129.0,-742476.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,12465.0,603.0,,,,
處分無形資產損失（利益）,2.0,0.0,,,,
處分投資損失（利益）,11473.0,0.0,,,,
非金融資產減損迴轉利益,-53.0,-137.0,,,,
其他項目,-15439.0,-1688767.0,,,,
收益費損項目合計,9260850.0,5890814.0,,,,
強制透過損益按公允價值衡量之金融資產（增加）減少,-3610442.0,-840799.0,,,,
應收票據（增加）減少,80657.0,497803.0,,,,
應收票據－關係人（增加）減少,351.0,-22.0,,,,
應收帳款（增加）減少,-1254784.0,1426227.0,,,,
應收帳款－關係人（增加）減少,14720.0,62085.0,,,,
其他應收款（增加）減少,-805067.0,-295242.0,,,,
存貨（增加）減少,2824083.0,5822354.0,,,,
預付款項（增加）減少,935452.0,-71689.0,,,,
其他流動資產（增加）減少,-704539.0,-151762.0,,,,
與營業活動相關之資產之淨變動合計,-2519569.0,6448955.0,,,,
合約負債增加（減少）,-6430749.0,-3970389.0,,,,
應付票據增加（減少）,365216.0,-1154608.0,,,,
應付票據－關係人增加（減少）,-34168.0,-42999.0,,,,
應付帳款增加（減少）,980913.0,-5528434.0,,,,
應付帳款－關係人增加（減少）,77540.0,113072.0,,,,
其他應付款增加（減少）,-3083311.0,-8205120.0,,,,
預收款項增加（減少）,222307.0,23243.0,,,,
其他流動負債增加（減少）,-193211.0,-101052.0,,,,
淨確定福利負債增加(減少),-274321.0,-168155.0,,,,
與營業活動相關之負債之淨變動合計,-8369784.0,-19034442.0,,,,
與營業活動相關之資產及負債之淨變動合計,-10889353.0,-12585487.0,,,,
調整項目合計,-1628503.0,-6694673.0,,,,
營運產生之現金流入（流出）,9231525.0,3618678.0,,,,
收取之利息,825020.0,603662.0,,,,
收取之股利,19025.0,2666.0,,,,
支付之利息,-874975.0,-672514.0,,,,
退還（支付）之所得稅,-332803.0,-581181.0,,,,
營業活動之淨現金流入（流出）,8867792.0,2971311.0,,,,
投資活動之現金流量,,,,,,
取得透過其他綜合損益按公允價值衡量之金融資產,-61949.0,-57851.0,,,,
處分透過其他綜合損益按公允價值衡量之金融資產,214333.0,82415.0,,,,
取得按攤銷後成本衡量之金融資產,-3463261.0,-1635151.0,,,,
處分按攤銷後成本衡量之金融資產,0.0,442316.0,,,,
按攤銷後成本衡量之金融資產到期還本,6333921.0,1933131.0,,,,
預付投資款增加,-900000.0,-300000.0,,,,
取得不動產、廠房及設備,-8556632.0,-6101275.0,,,,
處分不動產、廠房及設備,46480.0,160393.0,,,,
存出保證金增加,0.0,-64125.0,,,,
存出保證金減少,1985.0,0.0,,,,
其他應收款－關係人增加,-8218.0,-5014.0,,,,
取得無形資產,-57175.0,-138702.0,,,,
取得投資性不動產,-3807.0,-626.0,,,,
其他金融資產增加,-19584.0,-34944.0,,,,
其他非流動資產增加,-544107.0,-444614.0,,,,
預付設備款增加,-618831.0,-494374.0,,,,
投資活動之淨現金流入（流出）,-7636845.0,-6658421.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,0.0,1066283.0,,,,
短期借款減少,-4971865.0,0.0,,,,
應付短期票券增加,3146199.0,9900343.0,,,,
舉借長期借款,30473277.0,5044107.0,,,,
償還長期借款,-31569309.0,-12093480.0,,,,
存入保證金增加,190244.0,151130.0,,,,
租賃本金償還,-4996833.0,-3046422.0,,,,
其他非流動負債增加,596150.0,139822.0,,,,
取得子公司股權,-41170.0,-193332.0,,,,
非控制權益變動,697751.0,11635.0,,,,
其他籌資活動,-3601.0,-125.0,,,,
籌資活動之淨現金流入（流出）,-6479157.0,979961.0,,,,
匯率變動對現金及約當現金之影響,1631039.0,-362257.0,,,,
本期現金及約當現金增加（減少）數,-3617171.0,-3069406.0,,,,
期初現金及約當現金餘額,100855846.0,96986253.0,,,,
期末現金及約當現金餘額,97238675.0,93916847.0,,,,
資產負債表帳列之現金及約當現金,97238675.0,93916847.0,,,,
