民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,112年01月01日至112年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,-23575.0,-18316.0,,,,
本期稅前淨利（淨損）,-23575.0,-18316.0,,,,
折舊費用,3727.0,4162.0,,,,
攤銷費用,23.0,23.0,,,,
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,0.0,0.0,,,,
利息費用,3400.0,3585.0,,,,
利息收入,17.0,-109.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-4889.0,0.0,,,,
收益費損項目合計,2278.0,7661.0,,,,
應收票據（增加）減少,0.0,0.0,,,,
應收帳款（增加）減少,-44.0,120.0,,,,
應收帳款－關係人（增加）減少,-21379.0,16873.0,,,,
其他應收款（增加）減少,-21.0,-395.0,,,,
其他應收款－關係人（增加）減少,0.0,-731.0,,,,
存貨（增加）減少,-475.0,3825.0,,,,
預付款項（增加）減少,2296.0,935.0,,,,
與營業活動相關之資產之淨變動合計,-19623.0,20627.0,,,,
應付票據增加（減少）,-1866.0,2224.0,,,,
應付帳款增加（減少）,-4107.0,-1373.0,,,,
應付帳款－關係人增加（減少）,4055.0,2330.0,,,,
其他應付款增加（減少）,-8065.0,7510.0,,,,
其他應付款－關係人增加（減少）,10418.0,-7514.0,,,,
預收款項增加（減少）,-620.0,33.0,,,,
其他流動負債增加（減少）,58.0,-17.0,,,,
與營業活動相關之負債之淨變動合計,-127.0,3193.0,,,,
與營業活動相關之資產及負債之淨變動合計,-19750.0,23820.0,,,,
調整項目合計,-17472.0,31481.0,,,,
營運產生之現金流入（流出）,-41047.0,13165.0,,,,
收取之利息,-10.0,107.0,,,,
支付之利息,-3137.0,-3550.0,,,,
退還（支付）之所得稅,0.0,-10.0,,,,
營業活動之淨現金流入（流出）,-44194.0,9712.0,,,,
投資活動之現金流量,,,,,,
取得不動產、廠房及設備,0.0,-3702.0,,,,
處分不動產、廠房及設備,21000.0,0.0,,,,
存出保證金增加,-30.0,0.0,,,,
其他應收款－關係人增加,-756.0,0.0,,,,
其他應收款－關係人減少,0.0,900.0,,,,
其他金融資產減少,5000.0,0.0,,,,
其他非流動資產減少,23.0,25.0,,,,
預付設備款增加,-334.0,-168.0,,,,
投資活動之淨現金流入（流出）,24903.0,-2945.0,,,,
籌資活動之現金流量,,,,,,
償還長期借款,-8994.0,-9972.0,,,,
存入保證金增加,5.0,6.0,,,,
應付款項增加,6584.0,0.0,,,,
其他應付款－關係人增加,22815.0,3000.0,,,,
籌資活動之淨現金流入（流出）,20410.0,-6966.0,,,,
匯率變動對現金及約當現金之影響,12.0,-6.0,,,,
本期現金及約當現金增加（減少）數,1131.0,-205.0,,,,
期初現金及約當現金餘額,1125.0,8683.0,,,,
期末現金及約當現金餘額,2256.0,8478.0,,,,
資產負債表帳列之現金及約當現金,2256.0,8478.0,,,,
