民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,112年01月01日至112年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,463693.0,514274.0,,,,
本期稅前淨利（淨損）,463693.0,514274.0,,,,
折舊費用,268149.0,254405.0,,,,
攤銷費用,5583.0,1600.0,,,,
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,565.0,2156.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,0.0,-11791.0,,,,
利息費用,55769.0,56544.0,,,,
利息收入,-207.0,-63.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,2422.0,1652.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,1726.0,-759.0,,,,
其他項目,56222.0,-20473.0,,,,
收益費損項目合計,390229.0,283271.0,,,,
應收票據（增加）減少,58020.0,51769.0,,,,
應收票據－關係人（增加）減少,1386.0,-26746.0,,,,
應收帳款（增加）減少,-56110.0,501456.0,,,,
應收帳款－關係人（增加）減少,-9269.0,13634.0,,,,
其他應收款（增加）減少,-6982.0,21417.0,,,,
其他應收款－關係人（增加）減少,8.0,22.0,,,,
存貨（增加）減少,-86031.0,112658.0,,,,
生物資產（增加）減少,50567.0,41119.0,,,,
預付款項（增加）減少,141139.0,170595.0,,,,
與營業活動相關之資產之淨變動合計,92728.0,885924.0,,,,
應付票據增加（減少）,-608799.0,-186529.0,,,,
應付票據－關係人增加（減少）,-7482.0,-6041.0,,,,
應付帳款增加（減少）,373678.0,117708.0,,,,
應付帳款－關係人增加（減少）,-3531.0,17932.0,,,,
其他應付款增加（減少）,-142329.0,-244372.0,,,,
其他應付款－關係人增加（減少）,22397.0,25208.0,,,,
淨確定福利負債增加(減少),-5099.0,-5078.0,,,,
與營業活動相關之負債之淨變動合計,-371165.0,-281172.0,,,,
與營業活動相關之資產及負債之淨變動合計,-278437.0,604752.0,,,,
調整項目合計,111792.0,888023.0,,,,
營運產生之現金流入（流出）,575485.0,1402297.0,,,,
退還（支付）之所得稅,-5.0,6284.0,,,,
營業活動之淨現金流入（流出）,575480.0,1408581.0,,,,
投資活動之現金流量,,,,,,
取得不動產、廠房及設備,-602315.0,-467716.0,,,,
處分不動產、廠房及設備,1253.0,1650.0,,,,
其他非流動資產增加,0.0,-5989.0,,,,
其他非流動資產減少,14115.0,0.0,,,,
收取之利息,183.0,63.0,,,,
投資活動之淨現金流入（流出）,-586764.0,-471992.0,,,,
籌資活動之現金流量,,,,,,
短期借款減少,-45411.0,-973097.0,,,,
應付短期票券增加,97.0,79975.0,,,,
舉借長期借款,2550000.0,1600000.0,,,,
償還長期借款,-2423307.0,-1621500.0,,,,
租賃本金償還,-9611.0,-14425.0,,,,
支付之利息,-55067.0,-57774.0,,,,
退還（支付）之所得稅,0.0,0.0,,,,
非控制權益變動,49000.0,0.0,,,,
其他籌資活動,-76.0,0.0,,,,
籌資活動之淨現金流入（流出）,65625.0,-986821.0,,,,
匯率變動對現金及約當現金之影響,2331.0,-376.0,,,,
本期現金及約當現金增加（減少）數,56672.0,-50608.0,,,,
期初現金及約當現金餘額,275585.0,311085.0,,,,
期末現金及約當現金餘額,332257.0,260477.0,,,,
資產負債表帳列之現金及約當現金,332257.0,260477.0,,,,
