民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年03月31日,113年03月31日,112年12月31日,112年12月31日,112年03月31日,112年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,97238675.0,14.41,100855846.0,15.15,93916847.0,17.15,,
透過損益按公允價值衡量之金融資產－流動,14175573.0,2.1,10324562.0,1.55,8218300.0,1.5,,
按攤銷後成本衡量之金融資產－流動,15942182.0,2.36,16924454.0,2.54,15322834.0,2.8,,
應收票據淨額,1320219.0,0.2,1400366.0,0.21,1388957.0,0.25,,
應收票據－關係人淨額,44.0,0.0,395.0,0.0,269.0,0.0,,
應收帳款淨額,19613945.0,2.91,18384888.0,2.76,17233099.0,3.15,,
應收帳款－關係人淨額,813015.0,0.12,827735.0,0.12,1308715.0,0.24,,
其他應收款淨額,7903999.0,1.17,6812594.0,1.02,9031544.0,1.65,,
本期所得稅資產,120739.0,0.02,265230.0,0.04,192191.0,0.04,,
存貨,55027427.0,8.15,57749488.0,8.67,47448862.0,8.67,,
預付款項,5330460.0,0.79,6265912.0,0.94,5227541.0,0.95,,
其他流動資產,3766288.0,0.56,3042165.0,0.46,3425456.0,0.63,,
流動資產合計,221252566.0,32.79,222853635.0,33.47,202714615.0,37.02,,
非流動資產,,,,,,,,
透過損益按公允價值衡量之金融資產－非流動,7083176.0,1.05,6710965.0,1.01,6346522.0,1.16,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,5306008.0,0.79,5234693.0,0.79,5035095.0,0.92,,
按攤銷後成本衡量之金融資產－非流動,23500066.0,3.48,24483110.0,3.68,18416203.0,3.36,,
採用權益法之投資,29191883.0,4.33,28027609.0,4.21,33539345.0,6.13,,
不動產、廠房及設備,170683469.0,25.29,154714003.0,23.23,126561364.0,23.11,,
使用權資產,128614447.0,19.06,123641321.0,18.57,98231925.0,17.94,,
投資性不動產淨額,19166107.0,2.84,31827363.0,4.78,21883346.0,4.0,,
無形資產,47039112.0,6.97,47354037.0,7.11,16350318.0,2.99,,
