民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,112年01月01日至112年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,1361837.0,1068064.0,,,,
本期稅前淨利（淨損）,1361837.0,1068064.0,,,,
折舊費用,780546.0,615256.0,,,,
攤銷費用,10245.0,9520.0,,,,
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,58138.0,-392.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-110286.0,12019.0,,,,
利息費用,156553.0,176123.0,,,,
利息收入,-24300.0,-13777.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-32240.0,733.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-258.0,-2809.0,,,,
非金融資產減損損失,35483.0,0.0,,,,
非金融資產減損迴轉利益,-27365.0,-15250.0,,,,
其他項目,-1692.0,-70700.0,,,,
收益費損項目合計,844824.0,710723.0,,,,
強制透過損益按公允價值衡量之金融資產（增加）減少,-622947.0,44364.0,,,,
應收票據（增加）減少,54057.0,174147.0,,,,
應收帳款（增加）減少,296456.0,777468.0,,,,
存貨（增加）減少,677566.0,1836771.0,,,,
生物資產（增加）減少,32961.0,-142099.0,,,,
預付款項（增加）減少,-604176.0,-241929.0,,,,
其他流動資產（增加）減少,-51833.0,62169.0,,,,
其他金融資產（增加）減少,-476.0,-28496.0,,,,
與營業活動相關之資產之淨變動合計,-218392.0,2482395.0,,,,
應付票據增加（減少）,39037.0,-89213.0,,,,
應付帳款增加（減少）,-572162.0,-786132.0,,,,
其他應付款增加（減少）,-451171.0,-268561.0,,,,
其他金融負債增加（減少）,0.0,0.0,,,,
其他流動負債增加（減少）,-39538.0,-156855.0,,,,
淨確定福利負債增加(減少),0.0,0.0,,,,
與營業活動相關之負債之淨變動合計,-1023834.0,-1300761.0,,,,
與營業活動相關之資產及負債之淨變動合計,-1242226.0,1181634.0,,,,
調整項目合計,-397402.0,1892357.0,,,,
營運產生之現金流入（流出）,964435.0,2960421.0,,,,
收取之利息,24300.0,13777.0,,,,
退還（支付）之所得稅,-129094.0,-84261.0,,,,
營業活動之淨現金流入（流出）,859641.0,2889937.0,,,,
投資活動之現金流量,,,,,,
取得不動產、廠房及設備,-1010492.0,-1003399.0,,,,
處分不動產、廠房及設備,10679.0,19206.0,,,,
其他非流動資產增加,123737.0,-115968.0,,,,
其他非流動資產減少,0.0,0.0,,,,
收取之利息,0.0,0.0,,,,
收取之股利,0.0,0.0,,,,
其他投資活動,0.0,0.0,,,,
投資活動之淨現金流入（流出）,-876076.0,-1100161.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,27348165.0,28930616.0,,,,
短期借款減少,-27643988.0,-30796505.0,,,,
應付短期票券增加,9285000.0,5930000.0,,,,
應付短期票券減少,-9360000.0,-5755000.0,,,,
償還公司債,0.0,0.0,,,,
舉借長期借款,158474.0,254523.0,,,,
償還長期借款,-3145.0,-84531.0,,,,
存入保證金增加,3632.0,1734.0,,,,
存入保證金減少,0.0,0.0,,,,
租賃本金償還,-193818.0,-72056.0,,,,
其他非流動負債增加,0.0,0.0,,,,
庫藏股票處分,0.0,0.0,,,,
支付之利息,-160252.0,-168012.0,,,,
非控制權益變動,110856.0,-19373.0,,,,
其他籌資活動,0.0,0.0,,,,
籌資活動之淨現金流入（流出）,-455076.0,-1778604.0,,,,
匯率變動對現金及約當現金之影響,235764.0,-45679.0,,,,
本期現金及約當現金增加（減少）數,-235747.0,-34507.0,,,,
期初現金及約當現金餘額,6341576.0,5209377.0,,,,
期末現金及約當現金餘額,6105829.0,5174870.0,,,,
資產負債表帳列之現金及約當現金,6105829.0,5174870.0,,,,
