民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,112年01月01日至112年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,100592.0,83288.0,,,,
停業單位稅前淨利（淨損）,0.0,0.0,,,,
本期稅前淨利（淨損）,100592.0,83288.0,,,,
折舊費用,32191.0,32760.0,,,,
攤銷費用,436.0,526.0,,,,
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,89.0,89.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-33188.0,-7711.0,,,,
利息費用,31371.0,31236.0,,,,
利息收入,-174.0,-197.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-47506.0,-44099.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,305.0,8.0,,,,
收益費損項目合計,-16476.0,12612.0,,,,
強制透過損益按公允價值衡量之金融資產（增加）減少,0.0,-154541.0,,,,
應收票據（增加）減少,-24091.0,-19760.0,,,,
應收帳款（增加）減少,-79302.0,-66685.0,,,,
其他應收款（增加）減少,1572.0,3809.0,,,,
存貨（增加）減少,21999.0,48247.0,,,,
預付款項（增加）減少,29654.0,32405.0,,,,
其他流動資產（增加）減少,-1136.0,-1282.0,,,,
與營業活動相關之資產之淨變動合計,-51304.0,-157807.0,,,,
合約負債增加（減少）,-4631.0,-5488.0,,,,
應付票據增加（減少）,3794.0,5309.0,,,,
應付帳款增加（減少）,26034.0,73612.0,,,,
其他應付款增加（減少）,-109419.0,-155672.0,,,,
負債準備增加（減少）,596.0,743.0,,,,
預收款項增加（減少）,433.0,553.0,,,,
其他流動負債增加（減少）,1220.0,1278.0,,,,
淨確定福利負債增加(減少),-2565.0,-4019.0,,,,
與營業活動相關之負債之淨變動合計,-84538.0,-83684.0,,,,
與營業活動相關之資產及負債之淨變動合計,-135842.0,-241491.0,,,,
調整項目合計,-152318.0,-228879.0,,,,
營運產生之現金流入（流出）,-51726.0,-145591.0,,,,
收取之利息,174.0,197.0,,,,
收取之股利,0.0,0.0,,,,
支付之利息,0.0,0.0,,,,
退還（支付）之所得稅,-7.0,9.0,,,,
營業活動之淨現金流入（流出）,-51559.0,-145385.0,,,,
投資活動之現金流量,,,,,,
取得透過其他綜合損益按公允價值衡量之金融資產,0.0,0.0,,,,
處分透過其他綜合損益按公允價值衡量之金融資產,0.0,0.0,,,,
透過其他綜合損益按公允價值衡量之金融資產減資退回股款,0.0,0.0,,,,
取得透過損益按公允價值衡量之金融資產,0.0,-69700.0,,,,
處分透過損益按公允價值衡量之金融資產,0.0,0.0,,,,
取得採用權益法之投資,0.0,0.0,,,,
採用權益法之被投資公司減資退回股款,0.0,0.0,,,,
取得不動產、廠房及設備,-30914.0,-10859.0,,,,
處分不動產、廠房及設備,200.0,17.0,,,,
存出保證金增加,-8522.0,0.0,,,,
存出保證金減少,0.0,32234.0,,,,
其他應收款－關係人增加,0.0,0.0,,,,
其他應收款－關係人減少,0.0,0.0,,,,
取得無形資產,-4258.0,-48.0,,,,
取得投資性不動產,0.0,0.0,,,,
其他金融資產增加,-311.0,-36.0,,,,
其他金融資產減少,0.0,0.0,,,,
其他非流動資產增加,-2227.0,0.0,,,,
其他非流動資產減少,0.0,3537.0,,,,
投資活動之淨現金流入（流出）,-46032.0,-44855.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,223258.0,219453.0,,,,
短期借款減少,0.0,0.0,,,,
舉借長期借款,0.0,0.0,,,,
償還長期借款,-99167.0,-106167.0,,,,
存入保證金增加,301.0,151.0,,,,
存入保證金減少,0.0,0.0,,,,
其他應付款－關係人增加,1502.0,0.0,,,,
其他應付款－關係人減少,0.0,-302.0,,,,
租賃本金償還,-3556.0,-3835.0,,,,
其他非流動負債減少,0.0,0.0,,,,
庫藏股票買回成本,0.0,0.0,,,,
支付之利息,-30531.0,-29611.0,,,,
非控制權益變動,0.0,0.0,,,,
籌資活動之淨現金流入（流出）,91807.0,79689.0,,,,
匯率變動對現金及約當現金之影響,4429.0,-8580.0,,,,
本期現金及約當現金增加（減少）數,-1355.0,-119131.0,,,,
期初現金及約當現金餘額,591247.0,616521.0,,,,
期末現金及約當現金餘額,589892.0,497390.0,,,,
資產負債表帳列之現金及約當現金,589892.0,497390.0,,,,
