民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
非流動資產合計,5576531.0,53.99,5606903.0,55.45,5325835.0,52.63,,
資產總額,10329457.0,100.0,10112427.0,100.0,10118735.0,100.0,,
流動負債,,,,,,,,
短期借款,813000.0,7.87,813000.0,8.04,953000.0,9.42,,
應付票據,56377.0,0.55,57594.0,0.57,41272.0,0.41,,
應付帳款,418048.0,4.05,374126.0,3.7,461374.0,4.56,,
其他應付款,249276.0,2.41,341671.0,3.38,261982.0,2.59,,
本期所得稅負債,229260.0,2.22,156777.0,1.55,121740.0,1.2,,
負債準備－流動,0.0,0.0,0.0,0.0,0.0,0.0,,
租賃負債－流動,10953.0,0.11,10926.0,0.11,12388.0,0.12,,
其他流動負債,85996.0,0.83,105043.0,1.04,93138.0,0.92,,
流動負債合計,1862910.0,18.03,1859137.0,18.38,1944894.0,19.22,,
非流動負債,,,,,,,,
透過損益按公允價值衡量之金融負債－非流動,0.0,0.0,0.0,0.0,0.0,0.0,,
按攤銷後成本衡量之金融負債－非流動,0.0,0.0,0.0,0.0,0.0,0.0,,
應付公司債,0.0,0.0,0.0,0.0,0.0,0.0,,
長期借款,126000.0,1.22,126000.0,1.25,0.0,0.0,,
負債準備－非流動,178480.0,1.73,179899.0,1.78,245853.0,2.43,,
遞延所得稅負債,1082009.0,10.47,1076499.0,10.65,1098481.0,10.86,,
租賃負債－非流動,92606.0,0.9,92683.0,0.92,82190.0,0.81,,
其他非流動負債,21139.0,0.2,16025.0,0.16,24968.0,0.25,,
非流動負債合計,1500234.0,14.52,1491106.0,14.75,1451492.0,14.34,,
負債總額,3363144.0,32.56,3350243.0,33.13,3396386.0,33.57,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,2400000.0,23.23,2400000.0,23.73,2400000.0,23.72,,
股本合計,2400000.0,23.23,2400000.0,23.73,2400000.0,23.72,,
資本公積,,,,,,,,
資本公積－庫藏股票交易,46016.0,0.45,46016.0,0.46,43493.0,0.43,,
資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,0.0,0.0,0.0,0.0,0.0,0.0,,
資本公積合計,46016.0,0.45,46016.0,0.46,43493.0,0.43,,
保留盈餘,,,,,,,,
法定盈餘公積,525640.0,5.09,525640.0,5.2,461976.0,4.57,,
特別盈餘公積,1005964.0,9.74,1005964.0,9.95,1005964.0,9.94,,
未分配盈餘（或待彌補虧損）,1866707.0,18.07,1716894.0,16.98,1647053.0,16.28,,
保留盈餘合計,3398311.0,32.9,3248498.0,32.12,3114993.0,30.78,,
其他權益,,,,,,,,
其他權益合計,104221.0,1.01,114026.0,1.13,111401.0,1.1,,
庫藏股票,-38464.0,-0.37,-38464.0,-0.38,-38464.0,-0.38,,
歸屬於母公司業主之權益合計,5910084.0,57.22,5770076.0,57.06,5631423.0,55.65,,
非控制權益,1056229.0,10.23,992108.0,9.81,1090926.0,10.78,,
權益總額,6966313.0,67.44,6762184.0,66.87,6722349.0,66.43,,
負債及權益總計,10329457.0,100.0,10112427.0,100.0,10118735.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,2293865.0,,2293865.0,,2293865.0,,,
