民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年03月31日,113年03月31日,112年12月31日,112年12月31日,112年03月31日,112年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,1917509.0,18.56,1659193.0,16.41,1458936.0,14.42,,
透過損益按公允價值衡量之金融資產－流動,0.0,0.0,0.0,0.0,0.0,0.0,,
透過其他綜合損益按公允價值衡量之金融資產－流動,0.0,0.0,0.0,0.0,0.0,0.0,,
按攤銷後成本衡量之金融資產－流動,279477.0,2.71,355642.0,3.52,329042.0,3.25,,
應收票據淨額,101267.0,0.98,151219.0,1.5,88369.0,0.87,,
應收帳款淨額,372972.0,3.61,351958.0,3.48,370645.0,3.66,,
應收帳款－關係人淨額,1.0,0.0,4.0,0.0,0.0,0.0,,
其他應收款－關係人淨額,0.0,0.0,0.0,0.0,0.0,0.0,,
本期所得稅資產,530.0,0.01,530.0,0.01,4264.0,0.04,,
存貨,1689171.0,16.35,1627717.0,16.1,2054417.0,20.3,,
預付款項,0.0,0.0,0.0,0.0,0.0,0.0,,
其他流動資產,391999.0,3.79,359261.0,3.55,487227.0,4.82,,
流動資產合計,4752926.0,46.01,4505524.0,44.55,4792900.0,47.37,,
非流動資產,,,,,,,,
透過損益按公允價值衡量之金融資產－非流動,0.0,0.0,0.0,0.0,0.0,0.0,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,292273.0,2.83,292301.0,2.89,274216.0,2.71,,
按攤銷後成本衡量之金融資產－非流動,8629.0,0.08,26442.0,0.26,61441.0,0.61,,
採用權益法之投資,24237.0,0.23,26178.0,0.26,21730.0,0.21,,
不動產、廠房及設備,3065248.0,29.67,3074988.0,30.41,2973502.0,29.39,,
使用權資產,98538.0,0.95,99492.0,0.98,90473.0,0.89,,
投資性不動產淨額,1720434.0,16.66,1722873.0,17.04,1577609.0,15.59,,
遞延所得稅資產,17093.0,0.17,20317.0,0.2,22414.0,0.22,,
其他非流動資產,350079.0,3.39,344312.0,3.4,304450.0,3.01,,
