民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,112年01月01日至112年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,180860.0,-69905.0,,,,
本期稅前淨利（淨損）,180860.0,-69905.0,,,,
折舊費用,35663.0,34282.0,,,,
攤銷費用,48.0,262.0,,,,
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-275.0,994.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-10978.0,-3232.0,,,,
利息費用,538.0,6148.0,,,,
利息收入,-8942.0,-2302.0,,,,
股利收入,-175.0,-154.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-13729.0,-11389.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-150.0,-447.0,,,,
不動產、廠房及設備轉列費用數,17.0,0.0,,,,
未實現銷貨利益（損失）,357.0,548.0,,,,
已實現銷貨損失（利益）,-278.0,-403.0,,,,
收益費損項目合計,2096.0,24307.0,,,,
應收票據（增加）減少,9810.0,50339.0,,,,
應收帳款（增加）減少,-25872.0,88718.0,,,,
應收帳款－關係人（增加）減少,54150.0,80279.0,,,,
其他應收款（增加）減少,-2039.0,316.0,,,,
存貨（增加）減少,-33175.0,336443.0,,,,
生物資產（增加）減少,-3917.0,-2405.0,,,,
預付款項（增加）減少,441489.0,223637.0,,,,
其他流動資產（增加）減少,-3889.0,1702.0,,,,
與營業活動相關之資產之淨變動合計,436557.0,779029.0,,,,
合約負債增加（減少）,-1182.0,-17568.0,,,,
應付票據增加（減少）,-1311.0,6129.0,,,,
應付帳款增加（減少）,52957.0,-49974.0,,,,
其他應付款增加（減少）,-12430.0,-160346.0,,,,
其他流動負債增加（減少）,-2018.0,-19560.0,,,,
淨確定福利負債增加(減少),-766.0,-1122.0,,,,
與營業活動相關之負債之淨變動合計,35250.0,-242441.0,,,,
與營業活動相關之資產及負債之淨變動合計,471807.0,536588.0,,,,
調整項目合計,473903.0,560895.0,,,,
營運產生之現金流入（流出）,654763.0,490990.0,,,,
收取之利息,8942.0,2302.0,,,,
支付之利息,-495.0,-6148.0,,,,
退還（支付）之所得稅,-642.0,-16.0,,,,
營業活動之淨現金流入（流出）,662568.0,487128.0,,,,
投資活動之現金流量,,,,,,
取得按攤銷後成本衡量之金融資產,-10000.0,0.0,,,,
取得透過損益按公允價值衡量之金融資產,-350000.0,0.0,,,,
取得不動產、廠房及設備,-16520.0,-49620.0,,,,
處分不動產、廠房及設備,150.0,1496.0,,,,
其他金融資產增加,-4397.0,-117240.0,,,,
預付設備款增加,-6672.0,0.0,,,,
收取之股利,159.0,154.0,,,,
投資活動之淨現金流入（流出）,-387280.0,-165210.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,569829.0,793646.0,,,,
短期借款減少,-559659.0,-1529658.0,,,,
應付短期票券增加,0.0,30000.0,,,,
應付短期票券減少,0.0,-380000.0,,,,
償還長期借款,0.0,-350000.0,,,,
存入保證金減少,240.0,195.0,,,,
租賃本金償還,-800.0,-637.0,,,,
籌資活動之淨現金流入（流出）,9610.0,-1436454.0,,,,
匯率變動對現金及約當現金之影響,5145.0,1097.0,,,,
本期現金及約當現金增加（減少）數,290043.0,-1113439.0,,,,
期初現金及約當現金餘額,1821582.0,8504412.0,,,,
期末現金及約當現金餘額,2111625.0,7390973.0,,,,
資產負債表帳列之現金及約當現金,2111625.0,7390973.0,,,,
